Started At,Duration,Preset,Activity
09/06/2022 00:08:22,0:10:16,,PracticeType.Meditation
09/05/2022 01:14:24,0:3:59,,PracticeType.Meditation
09/04/2022 01:07:43,0:8:6,,PracticeType.Meditation
09/03/2022 00:32:27,0:3:14,,PracticeType.Meditation
09/02/2022 00:12:41,0:3:59,,PracticeType.Meditation
08/30/2022 02:29:33,0:4:19,,PracticeType.Meditation
08/29/2022 13:37:01,0:13:32,,PracticeType.Meditation
08/29/2022 02:31:08,0:3:8,,PracticeType.Meditation
08/28/2022 01:42:18,0:5:21,,PracticeType.Meditation
08/23/2022 00:58:45,0:6:33,,PracticeType.Meditation
08/21/2022 00:53:33,0:12:2,,PracticeType.Meditation
08/20/2022 02:02:35,0:11:3,,PracticeType.Meditation
08/19/2022 01:18:51,0:3:19,,PracticeType.Meditation
08/18/2022 01:03:58,0:13:13,,PracticeType.Meditation
08/17/2022 00:32:17,0:15:43,,PracticeType.Meditation
08/16/2022 00:51:09,0:6:0,,PracticeType.Meditation
08/15/2022 01:07:23,0:9:45,,PracticeType.Meditation
08/15/2022 00:59:12,0:6:1,,PracticeType.Meditation
08/14/2022 01:27:40,0:14:25,,PracticeType.Meditation
08/13/2022 01:10:49,0:14:0,,PracticeType.Meditation
08/11/2022 01:13:09,0:9:26,,PracticeType.Meditation
08/10/2022 01:02:28,0:20:58,,PracticeType.Meditation
08/10/2022 00:59:46,0:2:21,,PracticeType.Meditation
08/09/2022 00:51:50,0:3:59,,PracticeType.Meditation
08/08/2022 01:26:18,0:12:16,,PracticeType.Meditation
08/07/2022 01:07:45,0:0:38,,PracticeType.Meditation
08/06/2022 01:19:33,0:3:58,,PracticeType.Meditation
08/05/2022 01:11:25,0:1:15,,PracticeType.Meditation
08/04/2022 00:08:05,0:9:55,,PracticeType.Meditation
08/03/2022 00:41:52,0:13:7,,PracticeType.Meditation
08/02/2022 14:13:32,0:16:6,,PracticeType.Meditation
08/01/2022 19:47:35,0:10:2,,PracticeType.Meditation
08/01/2022 00:40:41,0:3:59,,PracticeType.Meditation
07/31/2022 01:46:24,0:3:59,,PracticeType.Meditation
07/30/2022 01:04:35,0:13:7,,PracticeType.Meditation
07/29/2022 13:13:19,0:16:16,,PracticeType.Meditation
07/29/2022 00:59:24,0:14:55,,PracticeType.Meditation
07/28/2022 00:49:39,0:14:47,,PracticeType.Meditation
07/27/2022 16:10:05,0:16:51,,PracticeType.Meditation
07/27/2022 16:03:22,0:5:43,,PracticeType.Meditation
07/27/2022 00:48:51,0:14:5,,PracticeType.Meditation
07/25/2022 01:26:51,0:7:56,,PracticeType.Meditation
07/23/2022 01:02:27,0:3:58,,PracticeType.Meditation
07/22/2022 00:54:49,0:17:41,,PracticeType.Meditation
07/20/2022 23:44:53,0:25:55,,PracticeType.Meditation
07/20/2022 23:35:59,0:8:6,,PracticeType.Meditation
07/18/2022 01:15:28,0:16:11,,PracticeType.Meditation
07/17/2022 00:51:57,0:30:18,,PracticeType.Meditation
07/16/2022 01:44:13,0:3:57,,PracticeType.Meditation
07/12/2022 23:31:49,0:16:43,,PracticeType.Meditation
07/12/2022 00:57:43,0:4:0,,PracticeType.Meditation
07/10/2022 01:48:13,0:3:58,,PracticeType.Meditation
07/09/2022 01:29:12,0:3:58,,PracticeType.Meditation
07/08/2022 00:39:29,0:3:59,,PracticeType.Meditation
07/07/2022 00:17:37,0:3:8,,PracticeType.Meditation
07/07/2022 00:11:07,0:5:51,,PracticeType.Meditation
07/05/2022 23:33:52,0:13:57,,PracticeType.Meditation
07/04/2022 23:57:26,0:0:58,,PracticeType.Meditation
07/04/2022 00:12:24,0:19:8,,PracticeType.Meditation
07/03/2022 00:59:52,0:3:10,,PracticeType.Meditation
07/02/2022 00:13:29,0:7:35,,PracticeType.Meditation
07/02/2022 00:10:45,0:1:52,,PracticeType.Meditation
07/02/2022 00:01:51,0:8:17,,PracticeType.Meditation
07/01/2022 12:19:39,0:25:56,,PracticeType.Meditation
07/01/2022 00:37:21,0:17:49,,PracticeType.Meditation
06/30/2022 00:19:29,0:17:49,,PracticeType.Meditation
06/29/2022 08:04:30,0:6:4,,PracticeType.Meditation
06/29/2022 00:38:31,0:3:50,,PracticeType.Meditation
06/28/2022 00:20:37,0:13:56,,PracticeType.Meditation
06/27/2022 00:48:23,0:3:12,,PracticeType.Meditation
06/26/2022 00:45:08,0:0:58,,PracticeType.Meditation
06/25/2022 01:09:43,0:14:1,,PracticeType.Meditation
06/24/2022 01:02:53,0:13:51,,PracticeType.Meditation
06/23/2022 01:03:04,0:4:0,,PracticeType.Meditation
06/22/2022 00:45:06,0:3:58,,PracticeType.Meditation
06/21/2022 00:51:30,0:10:49,,PracticeType.Meditation
06/20/2022 02:29:38,0:13:21,,PracticeType.Meditation
06/19/2022 01:07:01,0:4:56,,PracticeType.Meditation
06/18/2022 00:44:52,0:3:58,,PracticeType.Meditation
06/18/2022 00:40:42,0:4:0,,PracticeType.Meditation
06/17/2022 00:50:33,0:12:6,,PracticeType.Meditation
06/16/2022 00:10:07,0:4:0,,PracticeType.Meditation
06/15/2022 02:01:28,0:3:59,,PracticeType.Meditation
06/14/2022 01:34:25,0:13:59,,PracticeType.Meditation
06/13/2022 01:23:01,0:7:28,,PracticeType.Meditation
06/12/2022 01:08:31,0:17:17,,PracticeType.Meditation
06/12/2022 00:34:11,0:0:16,,PracticeType.Meditation
06/11/2022 00:11:32,0:11:46,,PracticeType.Meditation
